lat_r,lon_r,start_rides,geometry,dot_class,index_right,zip,zip_class,matrix_cat,start_station_name
38.905,-77.0419,4,POINT (-8576265.077746302 4708072.758821564),medium,71.0,20036,dark,Balanced,18th & M St NW
38.905,-77.0418,12,POINT (-8576253.945797224 4708072.758821564),medium,71.0,20036,dark,Balanced,18th & M St NW
38.905,-77.0417,9,POINT (-8576242.813848145 4708072.758821564),medium,71.0,20036,dark,Balanced,18th & M St NW
38.905,-77.0416,7,POINT (-8576231.681899065 4708072.758821564),medium,71.0,20036,dark,Balanced,18th & M St NW
38.905,-77.0415,5,POINT (-8576220.549949987 4708072.758821564),medium,71.0,20036,dark,Balanced,18th & M St NW
38.905,-77.0414,2,POINT (-8576209.418000905 4708072.758821564),medium,71.0,20036,dark,Balanced,18th & M St NW
38.905,-77.0413,1,POINT (-8576198.286051828 4708072.758821564),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.905,-77.0342,1,POINT (-8575407.917667195 4708072.758821564),small,68.0,20005,dark,Net sink ZIP,15th & M St NW
38.905,-76.9944,9,POINT (-8570977.401933623 4708072.758821564),medium,52.0,20002,dark,Balanced,Gallaudet / 8th St & Florida Ave NE
38.905,-76.9943,3,POINT (-8570966.269984543 4708072.758821564),medium,52.0,20002,dark,Balanced,Gallaudet / 8th St & Florida Ave NE
38.905,-76.9942,1,POINT (-8570955.138035465 4708072.758821564),small,52.0,20002,dark,Net sink ZIP,Gallaudet / 8th St & Florida Ave NE
38.9051,-77.057,2,POINT (-8577946.00205728 4708087.063786401),medium,46.0,20007,dark,Balanced,M St & Pennsylvania Ave NW
38.9051,-77.0569,1899,POINT (-8577934.870108202 4708087.063786401),large,46.0,20007,dark,High-turnover hub,M St & Pennsylvania Ave NW
38.9051,-77.0568,31,POINT (-8577923.738159122 4708087.063786401),large,46.0,20007,dark,High-turnover hub,M St & Pennsylvania Ave NW
38.9051,-77.0504,1,POINT (-8577211.293418046 4708087.063786401),small,70.0,20037,dark,Net sink ZIP,23rd & M St NW
38.9051,-77.0452,1,POINT (-8576632.43206592 4708087.063786401),small,71.0,20036,dark,Net sink ZIP,20th & M St NW 
38.9051,-77.0448,1,POINT (-8576587.904269604 4708087.063786401),small,71.0,20036,dark,Net sink ZIP,20th & M St NW 
38.9051,-77.0446,3,POINT (-8576565.640371446 4708087.063786401),medium,71.0,20036,dark,Balanced,20th & M St NW 
38.9051,-77.0424,1,POINT (-8576320.7374917 4708087.063786401),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9051,-77.0421,1,POINT (-8576287.341644462 4708087.063786401),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9051,-77.0419,13,POINT (-8576265.077746302 4708087.063786401),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9051,-77.0418,1216,POINT (-8576253.945797224 4708087.063786401),large,71.0,20036,dark,High-turnover hub,18th & M St NW
38.9051,-77.0417,29,POINT (-8576242.813848145 4708087.063786401),large,71.0,20036,dark,High-turnover hub,18th & M St NW
38.9051,-77.0416,13,POINT (-8576231.681899065 4708087.063786401),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9051,-77.0415,4,POINT (-8576220.549949987 4708087.063786401),medium,71.0,20036,dark,Balanced,18th & M St NW
38.9051,-77.0413,1,POINT (-8576198.286051828 4708087.063786401),small,71.0,20036,dark,Net sink ZIP,18th & M St NW
38.9051,-77.0342,1,POINT (-8575407.917667195 4708087.063786401),small,68.0,20005,dark,Net sink ZIP,15th & M St NW
38.9051,-77.003,1,POINT (-8571934.749554444 4708087.063786401),small,52.0,20002,dark,Net sink ZIP,M St & Delaware Ave NE
38.9051,-76.9945,2,POINT (-8570988.533882702 4708087.063786401),medium,52.0,20002,dark,Balanced,Gallaudet / 8th St & Florida Ave NE
38.9051,-76.9944,22,POINT (-8570977.401933623 4708087.063786401),medium,52.0,20002,dark,Balanced,Gallaudet / 8th St & Florida Ave NE
38.9051,-76.9943,7,POINT (-8570966.269984543 4708087.063786401),medium,52.0,20002,dark,Balanced,Gallaudet / 8th St & Florida Ave NE
38.9051,-76.9941,362,POINT (-8570944.006086385 4708087.063786401),large,52.0,20002,dark,High-turnover hub,Gallaudet / 8th St & Florida Ave NE
38.9052,-77.0651,1,POINT (-8578847.689932708 4708101.368771389),small,46.0,20007,dark,Net sink ZIP,Potomac & M St NW
38.9052,-77.0569,5,POINT (-8577934.870108202 4708101.368771389),medium,46.0,20007,dark,Balanced,M St & Pennsylvania Ave NW
38.9052,-77.0568,10,POINT (-8577923.738159122 4708101.368771389),medium,46.0,20007,dark,Balanced,M St & Pennsylvania Ave NW
38.9052,-77.0504,4,POINT (-8577211.293418046 4708101.368771389),medium,70.0,20037,dark,Balanced,23rd & M St NW
